topic_id,keywords,Count,label
0,"ai, news, new, share, media, said, data, technology, 2023, public, gray, company, press, group, weather",46736,AI Technology and Media Trends
1,"ai, data, news, new, market, technology, business, intelligence, world, 2024, 2025, research, share, artificial, openai",32458,Global AI Market Trends Analysis
2,"px 300, px, jpeg, 300, rawpixel, generated image, ai generated, generated, image, rawpixel termsprivacy, hear discord, termsprivacy cookie, touch love, discord channel, termsprivacy",7532,AI Generated Image Asset Distribution
3,"health, ai, news, healthcare, medical, research, patients, patient, cancer, care, drug, data, market, clinical, new",4072,AI Advancements in Healthcare Research
4,"ment, products, overviewview, services, consumer, entertain ment, entertain, general, policy, ment media, technology, business, media, resources, people culture",3895,AI in Consumer Media Technology
5,"nvidia, ai, chips, amd, chip, new, news, intel, gpu, gpus, china, pc, tech, company, 2025",3446,AI Hardware and Chip Innovation
6,"chatgpt, google, openai, ai, gpt, search, bard, new, users, news, 2023, model, use, like, chatbot",3205,Generative AI Search Engine Competition
7,"india, 2025, vs, video, watch, viral, check, live, news, watch video, trending, world, ai, videos, cricket",1766,AI-Driven Viral Media Trends
8,"rate, price, market, crypto, rates, trading, conversion, mexc, exchange, buy, ai, real time, trends, usd, time",1558,AI-Driven Cryptocurrency Market Analysis
9,"music, ai, artists, new, spotify, song, news, ai music, songs, like, album, 2023, dj, artist, youtube",1387,AI Integration in Music Industry
10,"galaxy, samsung, pixel, s24, ai, galaxy s24, google, features, pro, samsung galaxy, new, series, phones, ultra, phone",1323,AI Features in Smartphone Series
11,"apple, iphone, ai, siri, features, apple intelligence, new, ios, pro, news, intelligence, 2024, google, iphone 16, company",1243,Apple Intelligence Mobile AI Integration
12,"star, new, reveals, trump, taylor, husband, fans, swift, wife, daughter, advertisement, taylor swift, dress, ex, looks",1198,AI Generated Celebrity Deepfake Content
13,"windows, microsoft, windows 11, copilot, 11, bing, ai, new, ago, 10, view, 2024, neowin, google, hours ago",1160,Microsoft AI Integration in Windows
16,"nfl, sports, league, football, game, betting, ai, team, season, news, players, nba, player, vs, home",1081,AI-Driven Sports Analytics and Betting
18,"automotive, vehicle, vehicles, engineering design, ai, october, february, car, august, september, april, january, december, november, march",982,AI Integration in Automotive Engineering
19,"learning, machine learning, machine, ai, new, data, 2023, news, earth, satellite, science, researchers, space, le, research",975,AI for Satellite Earth Observation
20,"press, zawya, finance, ai, global, newsgovernment newspeople, studiesevents, newsresearch studiesevents, newspeople newsresearch, newspeople, newsgovernment, conferencesafrica, studiesevents conferencesafrica, conferencesafrica press, newsresearch",864,Global AI Industry News Trends
21,"ai, film, actors, hollywood, movie, anime, news, new, writers, movies, studios, tv, sag, aftra, sag aftra",768,AI Impact on Hollywood Industry
22,"ai, mental, chatgpt, mental health, health, chatbot, people, users, chatbots, like, dating, news, said, new, human",755,AI Chatbots in Mental Health
23,"students, chatgpt, ai, education, teachers, student, use, school, learning, schools, university, educators, said, tools, using",712,Generative AI in Educational Settings
24,"copyright, openai, ai, lawsuit, copyrighted, authors, news, use, law, content, infringement, court, new, times, works",664,AI Copyright and Legal Disputes
25,"gemini, google, ai, android, pro, new, model, gemini ai, google gemini, users, news, pixel, features, gemini pro, bard",655,Google Gemini AI Mobile Integration
27,"mobile, reviews, best, phones, iphone, gaming, tv, laptops, laptop, smart, apple, news, samsung, home, recommender",628,AI-Driven Consumer Electronics Recommendations
28,"ai, data, english, management, thoughtworks, storage, business, software, view, security, network, ñol, engineering, networking, datacentre",603,Enterprise AI Data Infrastructure Management
29,"lg, tv, yes, product, slide, air, oled, 4k, cookies, close, support, accessories, monitors, appliances, soundbars",600,AI-Enhanced LG Consumer Electronics
30,"salary, compensation, total, pay, paying, total compensation, science manager, salaries, data, manager, data scientist, fyi, scientist, time percentiles, percentiles",599,AI Industry Compensation and Salaries
31,"bahamas, native stew, stew, bahamian, 2021, native, 2021 22, 22, 2023, 2022, art, industry bahamas, junkanoo, 2024, nassau",589,Bahamian Cultural Heritage Digital Archiving
32,"energy, power, data, ai, electricity, data centers, nuclear, centers, solar, grid, carbon, climate, gas, new, news",572,AI Infrastructure Energy Consumption
